administrative,administrative_duration,informational,informational_duration,product_related,product_related_duration,bounce_rates,exit_rates,page_values,month,operating_systems,browser,region,traffic_type,visitor_type,weekend,revenue
0.0,0.0,0,0.0,4.0,0.0,0.1823215567939546,0.1823215567939546,0.0,May,Android,Google Chrome,North America,Twitter,Returning_Visitor,False,False
0.0,0.0,0,0.0,26.0,6.776506992372183,0.0,0.025667746748577813,0.0,Nov,Windows,Google Chrome,Western Europe,Google search,Returning_Visitor,True,False
2.0,4.609162207257629,0,0.0,19.0,5.910796644040527,0.038836023785198216,0.050693114315518165,0.0,Sep,Windows,Google Chrome,Asia,Twitter,Returning_Visitor,False,False
0.0,0.0,0,0.0,20.0,7.267525427828172,0.02449747160038737,0.02761516703297339,1.0296194171811581,Dec,Windows,Google Chrome,Western Europe,Instagram ads,Returning_Visitor,False,True
0.0,0.0,0,0.0,33.0,6.543911845564792,0.01400151963581361,0.031498667059371016,0.0,May,Android,Google Chrome,North America,Instagram ads,Returning_Visitor,False,False
1.0,4.1588830833596715,0,0.0,29.0,6.363028103540465,0.01921421892380437,0.02273948696948934,0.0,Mar,MACOS,Safari,North America,Google search,Returning_Visitor,False,False
3.0,4.477336814478207,0,0.0,11.0,7.244941546337007,0.0,0.02176149178151271,0.0,Mar,Android,Google Chrome,Western Europe,Google search,New_Visitor,True,False
0.0,0.0,0,0.0,1.0,7.034387929915503,0.0032945669494301114,0.017839918128331016,0.0,Dec,MACOS,Safari,North America,Youtube channel,New_Visitor,False,False
0.0,0.0,0,0.0,3.0,2.8903717578961645,0.03922071315328133,0.11332868530700327,0.0,June,Windows,Microsoft Edge,North America,Instagram ads,Returning_Visitor,False,False
4.0,2.8213788864092133,0,0.0,11.0,5.831882477283517,0.0,0.015873349156290163,0.0,Aug,Windows,Microsoft Edge,South America,Instagram Page,New_Visitor,False,False
0.0,0.0,0,0.0,1.0,0.0,0.1823215567939546,0.1823215567939546,0.0,Dec,Windows,Mozilla Firefox,Northern Africa,Affiliate marketing,Returning_Visitor,False,False
0.0,0.0,0,0.0,57.0,7.578656850594762,0.03739211921706269,0.05259245011917063,0.0,May,Windows,Google Chrome,Southern Africa,Instagram ads,Returning_Visitor,False,False
0.0,0.0,0,0.0,42.0,7.2633296174768365,0.0,0.05259245011917063,0.0,May,MACOS,Safari,South America,Google search,Returning_Visitor,False,False
4.0,5.012300573415317,0,0.0,27.0,6.9957661563048505,0.0,0.009950330853168092,4.507557357121091,Mar,Android,Google Chrome,South America,Instagram ads,Returning_Visitor,False,True
2.0,4.873287102945032,0,0.0,13.0,6.056784013228625,0.01242251999855711,0.03729578474369693,0.0,Nov,Windows,Google Chrome,Asia,Facebook ads,Returning_Visitor,False,False
0.0,0.0,0,0.0,1.0,0.0,0.1823215567939546,0.1823215567939546,0.0,Nov,Windows,Google Chrome,Western Europe,Youtube ads,Returning_Visitor,False,False
3.0,5.861355861760962,0,0.0,34.0,7.359467638255621,0.0,0.017839918128331016,3.122364924487357,May,Android,Google Chrome,Western Europe,Google search,Returning_Visitor,True,True
0.0,0.0,0,0.0,7.0,6.1092475827643655,0.0,0.03246719013750141,0.0,Mar,MACOS,Safari,South America,Google search,Returning_Visitor,False,False
3.0,3.295836866004329,4,5.771441123130016,59.0,7.803435056952168,0.002895803112025468,0.018821754240587667,0.0,Dec,Windows,Google Chrome,Southern Africa,Google search,Returning_Visitor,False,False
4.0,4.448973335356936,2,2.6741486494265287,41.0,7.242082359256962,0.0,0.015873349156290163,0.0,May,Windows,Mozilla Firefox,Africa,Google search,Returning_Visitor,False,False
0.0,0.0,0,0.0,14.0,7.221835825288449,0.0,0.03729578474369693,0.0,May,MACOS,Samsung Internet,Western Europe,Google search,Returning_Visitor,False,False
0.0,4.448973335356936,0,0.0,14.0,6.925595197110468,0.0,0.001998002662673058,0.0,Dec,MACOS,Safari,Western Europe,Facebook ads,Returning_Visitor,False,False
0.0,4.465524903512902,0,0.0,1.0,6.97914527506881,0.0,0.013902905168991434,0.0,Dec,Android,Google Chrome,North America,Instagram ads,Returning_Visitor,True,False
0.0,0.0,0,0.0,23.0,6.714170529909472,0.004788516731797094,0.013902905168991434,0.0,Mar,Windows,Google Chrome,Eastern Europe,Instagram ads,Returning_Visitor,False,False
0.0,0.0,0,0.0,36.0,6.946013991099227,0.01921421892380437,0.014888612493750559,0.0,May,Windows,Mozilla Firefox,Western Europe,Google search,Returning_Visitor,False,False
2.0,3.4339872044851463,0,0.0,2.0,3.5553480614894135,0.0,0.01291622526654623,0.0,Dec,ChromeOS,Sogou Explorer,Northern Africa,Tik Tok ads,Other,False,False
3.0,2.4849066497880004,0,0.0,25.0,7.257707677160043,0.004788516731797094,0.023716526617316065,0.0,Dec,Windows,Opera,North America,Facebook ads,Returning_Visitor,False,False
2.0,0.6931471805599453,0,0.0,11.0,5.7745515455444085,0.0,0.010939940038334263,0.0,May,Windows,Mozilla Firefox,North America,Bing search,Returning_Visitor,False,False
0.0,0.0,0,0.0,2.0,3.1354942159291497,0.0,0.09531017980432493,0.0,Dec,Android,Google Chrome,Western Europe,Google search,Returning_Visitor,True,False
